office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Big Horn,Dale Groutage,Burlington Town Hall 2-1,9,
U.S. Senate,,D,Big Horn,Dale Groutage,Otto 3-1,5,
U.S. Senate,,D,Big Horn,Dale Groutage,Emblem Irrigation District Office 5-1,1,
U.S. Senate,,D,Big Horn,Dale Groutage,Manderson Town Hall 8-1,13,
U.S. Senate,,D,Big Horn,Dale Groutage,Hyattville Community Center 6-1,2,
U.S. Senate,,D,Big Horn,Dale Groutage,Greybull Elks Lodge 11-1,74,
U.S. Senate,,D,Big Horn,Dale Groutage,Shell Community Hall 16-1,5,
U.S. Senate,,D,Big Horn,Dale Groutage,Cowley Administration Bldg 22-1,18,
U.S. Senate,,D,Big Horn,Dale Groutage,Deaver Community Hall 25-1,3,
U.S. Senate,,D,Big Horn,Dale Groutage,Lovell Middle School Gym 20-1,63,
U.S. Senate,,D,Big Horn,Dale Groutage,Rocky Mtn High School Byron 23-1,31,
U.S. Senate,,D,Big Horn,Dale Groutage,Frannie Community Meeting House 26-1,18,
U.S. Senate,,D,Big Horn,Dale Groutage,Courthouse/Meeting Room/Basin 1-1,42,
U.S. Senate,,D,Big Horn,Dale Groutage,Total,284,TRUE
U.S. House,,D,Big Horn,Gary Trauner,Burlington Town Hall 2-1,11,
U.S. House,,D,Big Horn,Gary Trauner,Otto 3-1,4,
U.S. House,,D,Big Horn,Gary Trauner,Emblem Irrigation District Office 5-1,1,
U.S. House,,D,Big Horn,Gary Trauner,Manderson Town Hall 8-1,13,
U.S. House,,D,Big Horn,Gary Trauner,Hyattville Community Center 6-1,2,
U.S. House,,D,Big Horn,Gary Trauner,Greybull Elks Lodge 11-1,78,
U.S. House,,D,Big Horn,Gary Trauner,Shell Community Hall 16-1,6,
U.S. House,,D,Big Horn,Gary Trauner,Cowley Administration Bldg 22-1,19,
U.S. House,,D,Big Horn,Gary Trauner,Deaver Community Hall 25-1,2,
U.S. House,,D,Big Horn,Gary Trauner,Lovell Middle School Gym 20-1,66,
U.S. House,,D,Big Horn,Gary Trauner,Rocky Mtn High School Byron 23-1,31,
U.S. House,,D,Big Horn,Gary Trauner,Frannie Community Meeting House 26-1,15,
U.S. House,,D,Big Horn,Gary Trauner,Courthouse/Meeting Room/Basin 1-1,43,
U.S. House,,D,Big Horn,Gary Trauner,Total,291,TRUE
Governor,,D,Big Horn,Dave Freudenthal,Burlington Town Hall 2-1,11,
Governor,,D,Big Horn,Dave Freudenthal,Otto 3-1,4,
Governor,,D,Big Horn,Dave Freudenthal,Emblem Irrigation District Office 5-1,1,
Governor,,D,Big Horn,Dave Freudenthal,Manderson Town Hall 8-1,13,
Governor,,D,Big Horn,Dave Freudenthal,Hyattville Community Center 6-1,5,
Governor,,D,Big Horn,Dave Freudenthal,Greybull Elks Lodge 11-1,86,
Governor,,D,Big Horn,Dave Freudenthal,Shell Community Hall 16-1,6,
Governor,,D,Big Horn,Dave Freudenthal,Cowley Administration Bldg 22-1,16,
Governor,,D,Big Horn,Dave Freudenthal,Deaver Community Hall 25-1,4,
Governor,,D,Big Horn,Dave Freudenthal,Lovell Middle School Gym 20-1,77,
Governor,,D,Big Horn,Dave Freudenthal,Rocky Mtn High School Byron 23-1,29,
Governor,,D,Big Horn,Dave Freudenthal,Frannie Community Meeting House 26-1,15,
Governor,,D,Big Horn,Dave Freudenthal,Courthouse/Meeting Room/Basin 1-1,46,
Governor,,D,Big Horn,Dave Freudenthal,Total,313,TRUE
Governor,,D,Big Horn,Al Hamburg,Burlington Town Hall 2-1,2,
Governor,,D,Big Horn,Al Hamburg,Otto 3-1,1,
Governor,,D,Big Horn,Al Hamburg,Emblem Irrigation District Office 5-1,0,
