office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,R,Uinta,Craig Thomas,Clark School/Evanston 1-1,453,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston Middle School 1-2,579,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston City Hall 1-3,257,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston City Hall 1-4,33,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston Library 2-1,298,
U.S. Senate,,R,Uinta,Craig Thomas,Bear River Town Hall 2-2,63,
U.S. Senate,,R,Uinta,Craig Thomas,Lyman Town Hall 3-1,319,
U.S. Senate,,R,Uinta,Craig Thomas,Lyman Town Hall 3-2,191,
U.S. Senate,,R,Uinta,Craig Thomas,Ft. Bridger Elementary School 4-1,180,
U.S. Senate,,R,Uinta,Craig Thomas,Mountain View Town Hall 4-2,167,
U.S. Senate,,R,Uinta,Craig Thomas,Mtn. View School Admin. Bldg. 4-3,174,
U.S. Senate,,R,Uinta,Craig Thomas,,2714,TRUE
U.S. House,1,R,Uinta,Barbara Cubin,Clark School/Evanston 1-1,312,
U.S. House,1,R,Uinta,Barbara Cubin,Evanston Middle School 1-2,380,
U.S. House,1,R,Uinta,Barbara Cubin,Evanston City Hall 1-3,179,
U.S. House,1,R,Uinta,Barbara Cubin,Evanston City Hall 1-4,21,
U.S. House,1,R,Uinta,Barbara Cubin,Evanston Library 2-1,226,
U.S. House,1,R,Uinta,Barbara Cubin,Bear River Town Hall 2-2,44,
U.S. House,1,R,Uinta,Barbara Cubin,Lyman Town Hall 3-1,204,
U.S. House,1,R,Uinta,Barbara Cubin,Lyman Town Hall 3-2,133,
U.S. House,1,R,Uinta,Barbara Cubin,Ft. Bridger Elementary School 4-1,117,
U.S. House,1,R,Uinta,Barbara Cubin,Mountain View Town Hall 4-2,108,
U.S. House,1,R,Uinta,Barbara Cubin,Mtn. View School Admin. Bldg. 4-3,141,
U.S. House,1,R,Uinta,Barbara Cubin,,1865,TRUE
