office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,R,Natrona,Craig Thomas,Roosevelt School 1-1,86,
U.S. Senate,,R,Natrona,Craig Thomas,Natrona County Library 1-2,115,
U.S. Senate,,R,Natrona,Craig Thomas,Dean Morgan Junior High School 1-3,221,
U.S. Senate,,R,Natrona,Craig Thomas,Casper College 1-4,243,
U.S. Senate,,R,Natrona,Craig Thomas,Jefferson School 1-5,140,
U.S. Senate,,R,Natrona,Craig Thomas,Grant School 1-6,225,
U.S. Senate,,R,Natrona,Craig Thomas,Senior Citizens' Center 1-7,79,
U.S. Senate,,R,Natrona,Craig Thomas,Seventh Day Adventist School 1-9,261,
U.S. Senate,,R,Natrona,Craig Thomas,Crest Hill School 1-11,253,
U.S. Senate,,R,Natrona,Craig Thomas,Willard School 1-12,74,
U.S. Senate,,R,Natrona,Craig Thomas,Westwood School 2-1,219,
U.S. Senate,,R,Natrona,Craig Thomas,McKinley School 2-2,166,
U.S. Senate,,R,Natrona,Craig Thomas,CY Junior High School 2-3,168,
U.S. Senate,,R,Natrona,Craig Thomas,Southridge School 2-4,182,
U.S. Senate,,R,Natrona,Craig Thomas,Casper Shrine Club 2-6,358,
U.S. Senate,,R,Natrona,Craig Thomas,Paradise Valley School 2-7,384,
U.S. Senate,,R,Natrona,Craig Thomas,Oregon Trail School 2-8,177,
U.S. Senate,,R,Natrona,Craig Thomas,Shepherd of the Valley Care Ctr. 2-9,183,
U.S. Senate,,R,Natrona,Craig Thomas,Bethel Baptist Church 2-10,418,
U.S. Senate,,R,Natrona,Craig Thomas,University Park School 3-2,185,
U.S. Senate,,R,Natrona,Craig Thomas,Pineview School 3-3,235,
U.S. Senate,,R,Natrona,Craig Thomas,Sagewood School 3-4,270,
U.S. Senate,,R,Natrona,Craig Thomas,Kelly Walsh High School 3-5,292,
U.S. Senate,,R,Natrona,Craig Thomas,Manor Heights School 3-6,386,
U.S. Senate,,R,Natrona,Craig Thomas,First Assembly of God Church 3-8,253,
U.S. Senate,,R,Natrona,Craig Thomas,Verda James School 3-9,174,
U.S. Senate,,R,Natrona,Craig Thomas,Centennial Junior High School 3-10,486,
U.S. Senate,,R,Natrona,Craig Thomas,Evansville School 4-1,115,
U.S. Senate,,R,Natrona,Craig Thomas,Evansville School - Out 4-2,209,
U.S. Senate,,R,Natrona,Craig Thomas,Hat Six Ranch 5-1,23,
U.S. Senate,,R,Natrona,Craig Thomas,Midwest Town Hall 7-1,60,
U.S. Senate,,R,Natrona,Craig Thomas,Edgerton Town Hall 7-2,35,
U.S. Senate,,R,Natrona,Craig Thomas,Mills Community Center 8-1,195,
U.S. Senate,,R,Natrona,Craig Thomas,Mountain View School 8-2,101,
U.S. Senate,,R,Natrona,Craig Thomas,Wardwell Water & Sewer 8-3,131,
U.S. Senate,,R,Natrona,Craig Thomas,Vista West Christian Church 8-4,254,
