office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,R,Weston,Craig Thomas,State Forestry Building/Newcastle 1-1,228,
U.S. Senate,,R,Weston,Craig Thomas,State Forestry Building/Newcastle 1-2,179,
U.S. Senate,,R,Weston,Craig Thomas,Osage School 2-1,60,
U.S. Senate,,R,Weston,Craig Thomas,Upton Community Center 3-1,99,
U.S. Senate,,R,Weston,Craig Thomas,Upton Community Center 4-1,247,
U.S. Senate,,R,Weston,Craig Thomas,State Forestry Building/Newcastle 5-1,160,
U.S. Senate,,R,Weston,Craig Thomas,State Forestry Building/Newcastle 5-2,112,
U.S. Senate,,R,Weston,Craig Thomas,State Forestry Building/Newcastle 5-3,242,
U.S. Senate,,R,Weston,Craig Thomas,,1327,TRUE
U.S. House,1,R,Weston,Barbara Cubin,State Forestry Building/Newcastle 1-1,181,
U.S. House,1,R,Weston,Barbara Cubin,State Forestry Building/Newcastle 1-2,141,
U.S. House,1,R,Weston,Barbara Cubin,Osage School 2-1,43,
U.S. House,1,R,Weston,Barbara Cubin,Upton Community Center 3-1,77,
U.S. House,1,R,Weston,Barbara Cubin,Upton Community Center 4-1,205,
U.S. House,1,R,Weston,Barbara Cubin,State Forestry Building/Newcastle 5-1,125,
U.S. House,1,R,Weston,Barbara Cubin,State Forestry Building/Newcastle 5-2,83,
U.S. House,1,R,Weston,Barbara Cubin,State Forestry Building/Newcastle 5-3,186,
U.S. House,1,R,Weston,Barbara Cubin,,1041,TRUE
U.S. House,1,R,Weston,Bill Winney,State Forestry Building/Newcastle 1-1,58,
U.S. House,1,R,Weston,Bill Winney,State Forestry Building/Newcastle 1-2,44,
U.S. House,1,R,Weston,Bill Winney,Osage School 2-1,25,
U.S. House,1,R,Weston,Bill Winney,Upton Community Center 3-1,28,
U.S. House,1,R,Weston,Bill Winney,Upton Community Center 4-1,59,
U.S. House,1,R,Weston,Bill Winney,State Forestry Building/Newcastle 5-1,52,
U.S. House,1,R,Weston,Bill Winney,State Forestry Building/Newcastle 5-2,40,
U.S. House,1,R,Weston,Bill Winney,State Forestry Building/Newcastle 5-3,69,
U.S. House,1,R,Weston,Bill Winney,,375,
Governor,,R,Weston,Ray Hunkins,State Forestry Building/Newcastle 1-1,158,
Governor,,R,Weston,Ray Hunkins,State Forestry Building/Newcastle 1-2,114,
Governor,,R,Weston,Ray Hunkins,Osage School 2-1,38,
Governor,,R,Weston,Ray Hunkins,Upton Community Center 3-1,64,
Governor,,R,Weston,Ray Hunkins,Upton Community Center 4-1,121,
Governor,,R,Weston,Ray Hunkins,State Forestry Building/Newcastle 5-1,99,
Governor,,R,Weston,Ray Hunkins,State Forestry Building/Newcastle 5-2,86,
Governor,,R,Weston,Ray Hunkins,State Forestry Building/Newcastle 5-3,144,
Governor,,R,Weston,Ray Hunkins,,824,TRUE
Governor,,R,Weston,John H. Self,State Forestry Building/Newcastle 1-1,56,
