office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Fremont,Dale Groutage,Lander Community Center 1-1,102,
U.S. Senate,,D,Fremont,Dale Groutage,Lander Community Center 1-2,56,
U.S. Senate,,D,Fremont,Dale Groutage,Lander Community Center 1-3,77,
U.S. Senate,,D,Fremont,Dale Groutage,Lander Community Center 1-4,71,
U.S. Senate,,D,Fremont,Dale Groutage,Lander Community Center 1-5,95,
U.S. Senate,,D,Fremont,Dale Groutage,Lander Community Center 1-6,88,
U.S. Senate,,D,Fremont,Dale Groutage,Hudson Town Hall 2-1,44,
U.S. Senate,,D,Fremont,Dale Groutage,Riverton Fair Office/Armory 3-1,61,
U.S. Senate,,D,Fremont,Dale Groutage,Riverton Fair Office/Armory 3-2,32,
U.S. Senate,,D,Fremont,Dale Groutage,Riverton Fair Office/Armory 3-3,79,
U.S. Senate,,D,Fremont,Dale Groutage,Riverton Fair Office/Armory 3-4,40,
U.S. Senate,,D,Fremont,Dale Groutage,Riverton Fair Office/Armory 3-5,94,
U.S. Senate,,D,Fremont,Dale Groutage,Riverton Fair Office/Armory 3-6,89,
U.S. Senate,,D,Fremont,Dale Groutage,Ft. Washakie School Gym 4-1,81,
U.S. Senate,,D,Fremont,Dale Groutage,Milford 5-1,107,
U.S. Senate,,D,Fremont,Dale Groutage,Beebe 6-1,38,
U.S. Senate,,D,Fremont,Dale Groutage,Dubois Headwaters Comm. Ctr. 7-1,91,
U.S. Senate,,D,Fremont,Dale Groutage,Arapahoe School 8-1,61,
U.S. Senate,,D,Fremont,Dale Groutage,Missouri Valley Fire Hall 9-1,8,
U.S. Senate,,D,Fremont,Dale Groutage,Delfelder 10-1,37,
U.S. Senate,,D,Fremont,Dale Groutage,Jeffrey City Fire Hall 12-1,8,
U.S. Senate,,D,Fremont,Dale Groutage,Ethete WY Indian High School 13-1,114,
U.S. Senate,,D,Fremont,Dale Groutage,Pavillion Wind River Rec. Ctr. 14-1,45,
U.S. Senate,,D,Fremont,Dale Groutage,8-Mile/Midvale Fire Hall 15-1,5,
U.S. Senate,,D,Fremont,Dale Groutage,Morton/Kinnear Fire Hall 16-1,25,
U.S. Senate,,D,Fremont,Dale Groutage,Luthy 17-1,44,
U.S. Senate,,D,Fremont,Dale Groutage,Big Bend 18-1,63,
U.S. Senate,,D,Fremont,Dale Groutage,Crowheart School 19-1,13,
U.S. Senate,,D,Fremont,Dale Groutage,Shoshoni Senior Citizens Center 20-1,36,
U.S. Senate,,D,Fremont,Dale Groutage,Reclamation 21-1,23,
U.S. Senate,,D,Fremont,Dale Groutage,Lysite Fire Hall 22-1,6,
U.S. Senate,,D,Fremont,Dale Groutage,Atlantic City Fire Hall 24-1,7,
U.S. Senate,,D,Fremont,Dale Groutage,,1740,TRUE
U.S. House,1,D,Fremont,Gary Trauner,Lander Community Center 1-1,100,
U.S. House,1,D,Fremont,Gary Trauner,Lander Community Center 1-2,53,
U.S. House,1,D,Fremont,Gary Trauner,Lander Community Center 1-3,74,
U.S. House,1,D,Fremont,Gary Trauner,Lander Community Center 1-4,68,
U.S. House,1,D,Fremont,Gary Trauner,Lander Community Center 1-5,94,
U.S. House,1,D,Fremont,Gary Trauner,Lander Community Center 1-6,86,
U.S. House,1,D,Fremont,Gary Trauner,Hudson Town Hall 2-1,41,
U.S. House,1,D,Fremont,Gary Trauner,Riverton Fair Office/Armory 3-1,61,
U.S. House,1,D,Fremont,Gary Trauner,Riverton Fair Office/Armory 3-2,35,
U.S. House,1,D,Fremont,Gary Trauner,Riverton Fair Office/Armory 3-3,81,
U.S. House,1,D,Fremont,Gary Trauner,Riverton Fair Office/Armory 3-4,38,
U.S. House,1,D,Fremont,Gary Trauner,Riverton Fair Office/Armory 3-5,95,
U.S. House,1,D,Fremont,Gary Trauner,Riverton Fair Office/Armory 3-6,90,
