office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,R,Johnson,Craig Thomas,Piney Shell 2-14,34,
U.S. Senate,,R,Johnson,Craig Thomas,Northwest Buffalo 3-1,192,
U.S. Senate,,R,Johnson,Craig Thomas,West Central Buffalo 3-2,131,
U.S. Senate,,R,Johnson,Craig Thomas,Northeast Buffalo 3-3,88,
U.S. Senate,,R,Johnson,Craig Thomas,Southwest Central Buffalo 3-4,150,
U.S. Senate,,R,Johnson,Craig Thomas,East Buffalo 3-5,90,
U.S. Senate,,R,Johnson,Craig Thomas,Southeast Buffalo 3-6,108,
U.S. Senate,,R,Johnson,Craig Thomas,Southwest Buffalo 3-7,116,
U.S. Senate,,R,Johnson,Craig Thomas,West Buffalo 3-8,114,
U.S. Senate,,R,Johnson,Craig Thomas,Oliver 4-7,268,
U.S. Senate,,R,Johnson,Craig Thomas,Bighorns 4-8,273,
U.S. Senate,,R,Johnson,Craig Thomas,Billy Creek 5-9,42,
U.S. Senate,,R,Johnson,Craig Thomas,Kaycee 6-10,64,
U.S. Senate,,R,Johnson,Craig Thomas,Middlefork 8-11,94,
U.S. Senate,,R,Johnson,Craig Thomas,Sussex 9-12,33,
U.S. Senate,,R,Johnson,Craig Thomas,Linch 9-13,8,
U.S. Senate,,R,Johnson,Craig Thomas,Tipperary 10-15,32,
U.S. Senate,,R,Johnson,Craig Thomas,,1837,TRUE
U.S. House,1,R,Johnson,Barbara Cubin,Piney Shell 2-14,23,
U.S. House,1,R,Johnson,Barbara Cubin,Northwest Buffalo 3-1,117,
U.S. House,1,R,Johnson,Barbara Cubin,West Central Buffalo 3-2,86,
U.S. House,1,R,Johnson,Barbara Cubin,Northeast Buffalo 3-3,63,
U.S. House,1,R,Johnson,Barbara Cubin,Southwest Central Buffalo 3-4,86,
U.S. House,1,R,Johnson,Barbara Cubin,East Buffalo 3-5,52,
U.S. House,1,R,Johnson,Barbara Cubin,Southeast Buffalo 3-6,77,
U.S. House,1,R,Johnson,Barbara Cubin,Southwest Buffalo 3-7,82,
U.S. House,1,R,Johnson,Barbara Cubin,West Buffalo 3-8,85,
U.S. House,1,R,Johnson,Barbara Cubin,Oliver 4-7,175,
U.S. House,1,R,Johnson,Barbara Cubin,Bighorns 4-8,194,
U.S. House,1,R,Johnson,Barbara Cubin,Billy Creek 5-9,29,
U.S. House,1,R,Johnson,Barbara Cubin,Kaycee 6-10,45,
U.S. House,1,R,Johnson,Barbara Cubin,Middlefork 8-11,77,
U.S. House,1,R,Johnson,Barbara Cubin,Sussex 9-12,27,
U.S. House,1,R,Johnson,Barbara Cubin,Linch 9-13,5,
U.S. House,1,R,Johnson,Barbara Cubin,Tipperary 10-15,26,
U.S. House,1,R,Johnson,Barbara Cubin,,1249,TRUE
U.S. House,1,R,Johnson,Bill Winney,Piney Shell 2-14,14,
U.S. House,1,R,Johnson,Bill Winney,Northwest Buffalo 3-1,89,
U.S. House,1,R,Johnson,Bill Winney,West Central Buffalo 3-2,57,
U.S. House,1,R,Johnson,Bill Winney,Northeast Buffalo 3-3,31,
U.S. House,1,R,Johnson,Bill Winney,Southwest Central Buffalo 3-4,70,
U.S. House,1,R,Johnson,Bill Winney,East Buffalo 3-5,40,
U.S. House,1,R,Johnson,Bill Winney,Southeast Buffalo 3-6,39,
U.S. House,1,R,Johnson,Bill Winney,Southwest Buffalo 3-7,34,
U.S. House,1,R,Johnson,Bill Winney,West Buffalo 3-8,38,
U.S. House,1,R,Johnson,Bill Winney,Oliver 4-7,106,
U.S. House,1,R,Johnson,Bill Winney,Bighorns 4-8,91,
U.S. House,1,R,Johnson,Bill Winney,Billy Creek 5-9,17,
U.S. House,1,R,Johnson,Bill Winney,Kaycee 6-10,20,
U.S. House,1,R,Johnson,Bill Winney,Middlefork 8-11,21,
U.S. House,1,R,Johnson,Bill Winney,Sussex 9-12,7,
U.S. House,1,R,Johnson,Bill Winney,Linch 9-13,3,
U.S. House,1,R,Johnson,Bill Winney,Tipperary 10-15,7,
U.S. House,1,R,Johnson,Bill Winney,,684,
Governor,,R,Johnson,Ray Hunkins,Piney Shell 2-14,24,
Governor,,R,Johnson,Ray Hunkins,Northwest Buffalo 3-1,141,
Governor,,R,Johnson,Ray Hunkins,West Central Buffalo 3-2,96,
Governor,,R,Johnson,Ray Hunkins,Northeast Buffalo 3-3,56,
Governor,,R,Johnson,Ray Hunkins,Southwest Central Buffalo 3-4,98,
Governor,,R,Johnson,Ray Hunkins,East Buffalo 3-5,60,
Governor,,R,Johnson,Ray Hunkins,Southeast Buffalo 3-6,77,
Governor,,R,Johnson,Ray Hunkins,Southwest Buffalo 3-7,88,
Governor,,R,Johnson,Ray Hunkins,West Buffalo 3-8,74,
Governor,,R,Johnson,Ray Hunkins,Oliver 4-7,203,
Governor,,R,Johnson,Ray Hunkins,Bighorns 4-8,193,
Governor,,R,Johnson,Ray Hunkins,Billy Creek 5-9,31,
Governor,,R,Johnson,Ray Hunkins,Kaycee 6-10,47,
Governor,,R,Johnson,Ray Hunkins,Middlefork 8-11,76,
Governor,,R,Johnson,Ray Hunkins,Sussex 9-12,27,
Governor,,R,Johnson,Ray Hunkins,Linch 9-13,6,
Governor,,R,Johnson,Ray Hunkins,Tipperary 10-15,27,
Governor,,R,Johnson,Ray Hunkins,,1324,TRUE
Governor,,R,Johnson,John H. Self,Piney Shell 2-14,5,
Governor,,R,Johnson,John H. Self,Northwest Buffalo 3-1,40,
Governor,,R,Johnson,John H. Self,West Central Buffalo 3-2,24,
Governor,,R,Johnson,John H. Self,Northeast Buffalo 3-3,24,
Governor,,R,Johnson,John H. Self,Southwest Central Buffalo 3-4,26,
Governor,,R,Johnson,John H. Self,East Buffalo 3-5,15,
Governor,,R,Johnson,John H. Self,Southeast Buffalo 3-6,24,
Governor,,R,Johnson,John H. Self,Southwest Buffalo 3-7,14,
Governor,,R,Johnson,John H. Self,West Buffalo 3-8,30,
Governor,,R,Johnson,John H. Self,Oliver 4-7,43,
Governor,,R,Johnson,John H. Self,Bighorns 4-8,48,
Governor,,R,Johnson,John H. Self,Billy Creek 5-9,8,
Governor,,R,Johnson,John H. Self,Kaycee 6-10,9,
Governor,,R,Johnson,John H. Self,Middlefork 8-11,11,
