office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,R,Lincoln,Craig Thomas,Fossil Country Museum/Kemmerer 1-1,92,
U.S. Senate,,R,Lincoln,Craig Thomas,Kemmerer Senior Center 1-2,134,
U.S. Senate,,R,Lincoln,Craig Thomas,Kemmerer Recreation Center 1-3,169,
U.S. Senate,,R,Lincoln,Craig Thomas,Diamondville School Admin. Bldg 1-4,59,
U.S. Senate,,R,Lincoln,Craig Thomas,Diamondville Search & Rescue 1-5,29,
U.S. Senate,,R,Lincoln,Craig Thomas,City of Kemmerer 1-6,26,
U.S. Senate,,R,Lincoln,Craig Thomas,Town of Opal 1-7,28,
U.S. Senate,,R,Lincoln,Craig Thomas,Town of La Barge 1-8,141,
U.S. Senate,,R,Lincoln,Craig Thomas,Afton Senior Center 2-1,421,
U.S. Senate,,R,Lincoln,Craig Thomas,Afton Senior Center 2-2,144,
U.S. Senate,,R,Lincoln,Craig Thomas,Alpine Civic Center 2-3,165,
U.S. Senate,,R,Lincoln,Craig Thomas,Bedford/Holdaway School 2-4,145,
U.S. Senate,,R,Lincoln,Craig Thomas,Etna/Metcalf School 2-5,235,
U.S. Senate,,R,Lincoln,Craig Thomas,Afton Junior High 2-6,236,
U.S. Senate,,R,Lincoln,Craig Thomas,Osmond Elementary School 2-7,472,
U.S. Senate,,R,Lincoln,Craig Thomas,Thayne Town Hall 2-8,185,
U.S. Senate,,R,Lincoln,Craig Thomas,Cokeville Town Hall 2-9,83,
U.S. Senate,,R,Lincoln,Craig Thomas,Star Valley Ranch Library 2-10,259,
U.S. Senate,,R,Lincoln,Craig Thomas,,3023,TRUE
U.S. House,1,R,Lincoln,Barbara Cubin,Fossil Country Museum/Kemmerer 1-1,49,
U.S. House,1,R,Lincoln,Barbara Cubin,Kemmerer Senior Center 1-2,68,
U.S. House,1,R,Lincoln,Barbara Cubin,Kemmerer Recreation Center 1-3,112,
U.S. House,1,R,Lincoln,Barbara Cubin,Diamondville School Admin. Bldg 1-4,35,
U.S. House,1,R,Lincoln,Barbara Cubin,Diamondville Search & Rescue 1-5,22,
U.S. House,1,R,Lincoln,Barbara Cubin,City of Kemmerer 1-6,23,
U.S. House,1,R,Lincoln,Barbara Cubin,Town of Opal 1-7,22,
U.S. House,1,R,Lincoln,Barbara Cubin,Town of La Barge 1-8,105,
U.S. House,1,R,Lincoln,Barbara Cubin,Afton Senior Center 2-1,320,
U.S. House,1,R,Lincoln,Barbara Cubin,Afton Senior Center 2-2,106,
U.S. House,1,R,Lincoln,Barbara Cubin,Alpine Civic Center 2-3,106,
U.S. House,1,R,Lincoln,Barbara Cubin,Bedford/Holdaway School 2-4,109,
U.S. House,1,R,Lincoln,Barbara Cubin,Etna/Metcalf School 2-5,181,
U.S. House,1,R,Lincoln,Barbara Cubin,Afton Junior High 2-6,174,
