office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Uinta,Dale Groutage,Clark School/Evanston 1-1,428,
U.S. Senate,,D,Uinta,Dale Groutage,Evanston Middle School 1-2,356,
U.S. Senate,,D,Uinta,Dale Groutage,Evanston City Hall 1-3,254,
U.S. Senate,,D,Uinta,Dale Groutage,Evanston City Hall 1-4,58,
U.S. Senate,,D,Uinta,Dale Groutage,Evanston Library/Mtn View School Adm 2-1,116,
U.S. Senate,,D,Uinta,Dale Groutage,Bear River Town Hall 2-2,34,
U.S. Senate,,D,Uinta,Dale Groutage,Lyman Town Hall 3-1,176,
U.S. Senate,,D,Uinta,Dale Groutage,Lyman Town Hall 3-2,93,
U.S. Senate,,D,Uinta,Dale Groutage,Ft. Bridger Elementary School 4-1,105,
U.S. Senate,,D,Uinta,Dale Groutage,Mountain View Town Hall 4-2,116,
U.S. Senate,,D,Uinta,Dale Groutage,Mtn. View School Admin. Bldg. 4-3,85,
U.S. Senate,,D,Uinta,Dale Groutage,,1821,
U.S. Senate,,R,Uinta,Craig Thomas,Clark School/Evanston 1-1,769,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston Middle School 1-2,985,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston City Hall 1-3,476,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston City Hall 1-4,51,
U.S. Senate,,R,Uinta,Craig Thomas,Evanston Library/Mtn View School Adm 2-1,478,
U.S. Senate,,R,Uinta,Craig Thomas,Bear River Town Hall 2-2,114,
U.S. Senate,,R,Uinta,Craig Thomas,Lyman Town Hall 3-1,481,
U.S. Senate,,R,Uinta,Craig Thomas,Lyman Town Hall 3-2,301,
U.S. Senate,,R,Uinta,Craig Thomas,Ft. Bridger Elementary School 4-1,229,
U.S. Senate,,R,Uinta,Craig Thomas,Mountain View Town Hall 4-2,275,
U.S. Senate,,R,Uinta,Craig Thomas,Mtn. View School Admin. Bldg. 4-3,300,
U.S. Senate,,R,Uinta,Craig Thomas,,4459,TRUE
U.S. House,1,D,Uinta,Gary Trauner,Clark School/Evanston 1-1,563,
U.S. House,1,D,Uinta,Gary Trauner,Evanston Middle School 1-2,554,
U.S. House,1,D,Uinta,Gary Trauner,Evanston City Hall 1-3,315,
U.S. House,1,D,Uinta,Gary Trauner,Evanston City Hall 1-4,66,
U.S. House,1,D,Uinta,Gary Trauner,Evanston Library/Mtn View School Adm 2-1,151,
U.S. House,1,D,Uinta,Gary Trauner,Bear River Town Hall 2-2,42,
U.S. House,1,D,Uinta,Gary Trauner,Lyman Town Hall 3-1,237,
U.S. House,1,D,Uinta,Gary Trauner,Lyman Town Hall 3-2,123,
U.S. House,1,D,Uinta,Gary Trauner,Ft. Bridger Elementary School 4-1,127,
U.S. House,1,D,Uinta,Gary Trauner,Mountain View Town Hall 4-2,156,
U.S. House,1,D,Uinta,Gary Trauner,Mtn. View School Admin. Bldg. 4-3,106,
U.S. House,1,D,Uinta,Gary Trauner,,2440,
U.S. House,1,L,Uinta,Thomas R. Rankin,Clark School/Evanston 1-1,67,
U.S. House,1,L,Uinta,Thomas R. Rankin,Evanston Middle School 1-2,27,
U.S. House,1,L,Uinta,Thomas R. Rankin,Evanston City Hall 1-3,48,
U.S. House,1,L,Uinta,Thomas R. Rankin,Evanston City Hall 1-4,7,
U.S. House,1,L,Uinta,Thomas R. Rankin,Evanston Library/Mtn View School Adm 2-1,29,
U.S. House,1,L,Uinta,Thomas R. Rankin,Bear River Town Hall 2-2,8,
U.S. House,1,L,Uinta,Thomas R. Rankin,Lyman Town Hall 3-1,49,
U.S. House,1,L,Uinta,Thomas R. Rankin,Lyman Town Hall 3-2,22,
U.S. House,1,L,Uinta,Thomas R. Rankin,Ft. Bridger Elementary School 4-1,28,
U.S. House,1,L,Uinta,Thomas R. Rankin,Mountain View Town Hall 4-2,26,
U.S. House,1,L,Uinta,Thomas R. Rankin,Mtn. View School Admin. Bldg. 4-3,23,
U.S. House,1,L,Uinta,Thomas R. Rankin,,334,
