office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Teton,Dale Groutage,Lower Valley Energy 1-1,278,
U.S. Senate,,D,Teton,Dale Groutage,LDS Church 1-2,251,
U.S. Senate,,D,Teton,Dale Groutage,National Museum of Wildlife Art 1-3,148,
U.S. Senate,,D,Teton,Dale Groutage,Teton County Fair Building 1-5,382,
U.S. Senate,,D,Teton,Dale Groutage,Presbyterian Church 1-6,287,
U.S. Senate,,D,Teton,Dale Groutage,Jackson Hole Christian Center 1-7,243,
U.S. Senate,,D,Teton,Dale Groutage,Jackson Senior Center 1-8,265,
U.S. Senate,,D,Teton,Dale Groutage,Teton County Library 1-9,309,
U.S. Senate,,D,Teton,Dale Groutage,WYDOT 1-10,169,
U.S. Senate,,D,Teton,Dale Groutage,Jackson Hole Airport 2-1,276,
U.S. Senate,,D,Teton,Dale Groutage,National Museum of Wildlife Art 2-2,13,
U.S. Senate,,D,Teton,Dale Groutage,Moran School 3-1,105,
U.S. Senate,,D,Teton,Dale Groutage,Wilson School 4-1,211,
U.S. Senate,,D,Teton,Dale Groutage,New Wilson Fire House 4-2,207,
U.S. Senate,,D,Teton,Dale Groutage,Old Wilson School Community Center 4-3,231,
U.S. Senate,,D,Teton,Dale Groutage,Teton Village Fire House 4-4,272,
U.S. Senate,,D,Teton,Dale Groutage,Alta School 5-1,68,
U.S. Senate,,D,Teton,Dale Groutage,Recreation Center 1-4,148,
U.S. Senate,,D,Teton,Dale Groutage,,3863,
U.S. Senate,,R,Teton,Craig Thomas,Lower Valley Energy 1-1,462,
U.S. Senate,,R,Teton,Craig Thomas,LDS Church 1-2,251,
U.S. Senate,,R,Teton,Craig Thomas,National Museum of Wildlife Art 1-3,252,
U.S. Senate,,R,Teton,Craig Thomas,Teton County Fair Building 1-5,345,
U.S. Senate,,R,Teton,Craig Thomas,Presbyterian Church 1-6,318,
U.S. Senate,,R,Teton,Craig Thomas,Jackson Hole Christian Center 1-7,332,
U.S. Senate,,R,Teton,Craig Thomas,Jackson Senior Center 1-8,348,
U.S. Senate,,R,Teton,Craig Thomas,Teton County Library 1-9,277,
U.S. Senate,,R,Teton,Craig Thomas,WYDOT 1-10,392,
U.S. Senate,,R,Teton,Craig Thomas,Jackson Hole Airport 2-1,434,
U.S. Senate,,R,Teton,Craig Thomas,National Museum of Wildlife Art 2-2,21,
U.S. Senate,,R,Teton,Craig Thomas,Moran School 3-1,126,
U.S. Senate,,R,Teton,Craig Thomas,Wilson School 4-1,211,
U.S. Senate,,R,Teton,Craig Thomas,New Wilson Fire House 4-2,323,
U.S. Senate,,R,Teton,Craig Thomas,Old Wilson School Community Center 4-3,188,
U.S. Senate,,R,Teton,Craig Thomas,Teton Village Fire House 4-4,319,
