office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Washakie,Dale Groutage,Ten Sleep Senior Center 3-1,86,
U.S. Senate,,D,Washakie,Dale Groutage,Methodist RER Building/Worland 5-1,169,
U.S. Senate,,D,Washakie,Dale Groutage,Worland High School 5-2,216,
U.S. Senate,,D,Washakie,Dale Groutage,Worland Community Center Complex 5-3,129,
U.S. Senate,,D,Washakie,Dale Groutage,Fairgrounds Worland 5-5,206,
U.S. Senate,,D,Washakie,Dale Groutage,,806,
U.S. Senate,,R,Washakie,Craig Thomas,Ten Sleep Senior Center 3-1,325,
U.S. Senate,,R,Washakie,Craig Thomas,Methodist RER Building/Worland 5-1,582,
U.S. Senate,,R,Washakie,Craig Thomas,Worland High School 5-2,604,
U.S. Senate,,R,Washakie,Craig Thomas,Worland Community Center Complex 5-3,348,
U.S. Senate,,R,Washakie,Craig Thomas,Fairgrounds Worland 5-5,754,
U.S. Senate,,R,Washakie,Craig Thomas,,2613,TRUE
U.S. House,1,D,Washakie,Gary Trauner,Ten Sleep Senior Center 3-1,116,
U.S. House,1,D,Washakie,Gary Trauner,Methodist RER Building/Worland 5-1,346,
U.S. House,1,D,Washakie,Gary Trauner,Worland High School 5-2,383,
U.S. House,1,D,Washakie,Gary Trauner,Worland Community Center Complex 5-3,221,
U.S. House,1,D,Washakie,Gary Trauner,Fairgrounds Worland 5-5,391,
U.S. House,1,D,Washakie,Gary Trauner,,1457,
U.S. House,1,L,Washakie,Thomas R. Rankin,Ten Sleep Senior Center 3-1,23,
U.S. House,1,L,Washakie,Thomas R. Rankin,Methodist RER Building/Worland 5-1,21,
U.S. House,1,L,Washakie,Thomas R. Rankin,Worland High School 5-2,32,
U.S. House,1,L,Washakie,Thomas R. Rankin,Worland Community Center Complex 5-3,19,
U.S. House,1,L,Washakie,Thomas R. Rankin,Fairgrounds Worland 5-5,19,
U.S. House,1,L,Washakie,Thomas R. Rankin,,114,
U.S. House,1,R,Washakie,Barbara Cubin,Ten Sleep Senior Center 3-1,273,
U.S. House,1,R,Washakie,Barbara Cubin,Methodist RER Building/Worland 5-1,389,
U.S. House,1,R,Washakie,Barbara Cubin,Worland High School 5-2,403,
U.S. House,1,R,Washakie,Barbara Cubin,Worland Community Center Complex 5-3,235,
U.S. House,1,R,Washakie,Barbara Cubin,Fairgrounds Worland 5-5,551,
U.S. House,1,R,Washakie,Barbara Cubin,,1851,TRUE
Governor,,D,Washakie,Dave Freudenthal,Ten Sleep Senior Center 3-1,258,
Governor,,D,Washakie,Dave Freudenthal,Methodist RER Building/Worland 5-1,575,
Governor,,D,Washakie,Dave Freudenthal,Worland High School 5-2,644,
Governor,,D,Washakie,Dave Freudenthal,Worland Community Center Complex 5-3,345,
Governor,,D,Washakie,Dave Freudenthal,Fairgrounds Worland 5-5,660,
Governor,,D,Washakie,Dave Freudenthal,,2482,TRUE
Governor,,D,Washakie,Ray Hunkins,Ten Sleep Senior Center 3-1,147,
Governor,,D,Washakie,Ray Hunkins,Methodist RER Building/Worland 5-1,183,
Governor,,D,Washakie,Ray Hunkins,Worland High School 5-2,181,
Governor,,D,Washakie,Ray Hunkins,Worland Community Center Complex 5-3,134,
Governor,,D,Washakie,Ray Hunkins,Fairgrounds Worland 5-5,300,
Governor,,D,Washakie,Ray Hunkins,,945,
Secretary of State,,L,Washakie,Dennis Brossman,Ten Sleep Senior Center 3-1,58,
Secretary of State,,L,Washakie,Dennis Brossman,Methodist RER Building/Worland 5-1,73,
Secretary of State,,L,Washakie,Dennis Brossman,Worland High School 5-2,74,
Secretary of State,,L,Washakie,Dennis Brossman,Worland Community Center Complex 5-3,67,
Secretary of State,,L,Washakie,Dennis Brossman,Fairgrounds Worland 5-5,89,
Secretary of State,,L,Washakie,Dennis Brossman,,361,
Secretary of State,,R,Washakie,Max Maxfield,Ten Sleep Senior Center 3-1,340,
Secretary of State,,R,Washakie,Max Maxfield,Methodist RER Building/Worland 5-1,647,
Secretary of State,,R,Washakie,Max Maxfield,Worland High School 5-2,706,
Secretary of State,,R,Washakie,Max Maxfield,Worland Community Center Complex 5-3,385,
Secretary of State,,R,Washakie,Max Maxfield,Fairgrounds Worland 5-5,834,
Secretary of State,,R,Washakie,Max Maxfield,,2912,TRUE
State Auditor,,D,Washakie,Bill Eikenberry ,Ten Sleep Senior Center 3-1,76,
State Auditor,,D,Washakie,Bill Eikenberry ,Methodist RER Building/Worland 5-1,159,
State Auditor,,D,Washakie,Bill Eikenberry ,Worland High School 5-2,191,
State Auditor,,D,Washakie,Bill Eikenberry ,Worland Community Center Complex 5-3,121,
State Auditor,,D,Washakie,Bill Eikenberry ,Fairgrounds Worland 5-5,165,
State Auditor,,D,Washakie,Bill Eikenberry ,,712,
State Auditor,,R,Washakie,Rita Meyer,Ten Sleep Senior Center 3-1,329,
State Auditor,,R,Washakie,Rita Meyer,Methodist RER Building/Worland 5-1,573,
State Auditor,,R,Washakie,Rita Meyer,Worland High School 5-2,608,
State Auditor,,R,Washakie,Rita Meyer,Worland Community Center Complex 5-3,346,
State Auditor,,R,Washakie,Rita Meyer,Fairgrounds Worland 5-5,769,
State Auditor,,R,Washakie,Rita Meyer,,2625,TRUE
State Treasurer,,D,Washakie,Ron Redo,Ten Sleep Senior Center 3-1,66,
State Treasurer,,D,Washakie,Ron Redo,Methodist RER Building/Worland 5-1,137,
State Treasurer,,D,Washakie,Ron Redo,Worland High School 5-2,175,
State Treasurer,,D,Washakie,Ron Redo,Worland Community Center Complex 5-3,111,
State Treasurer,,D,Washakie,Ron Redo,Fairgrounds Worland 5-5,143,
State Treasurer,,D,Washakie,Ron Redo,,632,
State Treasurer,,R,Washakie,Joe Meyer,Ten Sleep Senior Center 3-1,336,
State Treasurer,,R,Washakie,Joe Meyer,Methodist RER Building/Worland 5-1,598,
State Treasurer,,R,Washakie,Joe Meyer,Worland High School 5-2,615,
State Treasurer,,R,Washakie,Joe Meyer,Worland Community Center Complex 5-3,355,
