office,district,party,county,candidate,precinct,votes,winner,
U.S. Senate,,D,Crook,Dale Groutage,Sundance Inside North 1-1,64,,
U.S. Senate,,D,Crook,Dale Groutage,Sundance Inside South 1-2,65,,
U.S. Senate,,D,Crook,Dale Groutage,Sundance Outside 2-2,77,,
U.S. Senate,,D,Crook,Dale Groutage,Beulah Community Bldg. 3-3,17,,
U.S. Senate,,D,Crook,Dale Groutage,Aladdin Community 7-7,28,,
U.S. Senate,,D,Crook,Dale Groutage,Alva Church 9-9,6,,
U.S. Senate,,D,Crook,Dale Groutage,Tower Junction 11-11,25,,
U.S. Senate,,D,Crook,Dale Groutage,Elmore 12-12,22,,
U.S. Senate,,D,Crook,Dale Groutage,Hulett Outside 13-13,21,,
U.S. Senate,,D,Crook,Dale Groutage,Hulett Inside 14-14,26,,
U.S. Senate,,D,Crook,Dale Groutage,Pine Haven Town Hall 15-15,56,,
U.S. Senate,,D,Crook,Dale Groutage,Moorcroft Outside 16-16,32,,
U.S. Senate,,D,Crook,Dale Groutage,Moorcroft West Side 18-1,50,,
U.S. Senate,,D,Crook,Dale Groutage,Moorcroft East Side 18-2,23,,
U.S. Senate,,D,Crook,Dale Groutage,New Haven Community Bldg. 23-23,4,,
U.S. Senate,,D,Crook,Dale Groutage,Colony Community Bldg. 24-24,3,,
U.S. Senate,,D,Crook,Dale Groutage,Oshoto Community Bldg. 26-26,5,,
U.S. Senate,,D,Crook,Dale Groutage,,524,,
U.S. Senate,,R,Crook,Craig Thomas,Sundance Inside North 1-1,255,,
U.S. Senate,,R,Crook,Craig Thomas,Sundance Inside South 1-2,198,,
U.S. Senate,,R,Crook,Craig Thomas,Sundance Outside 2-2,315,,
U.S. Senate,,R,Crook,Craig Thomas,Beulah Community Bldg. 3-3,93,,
U.S. Senate,,R,Crook,Craig Thomas,Aladdin Community 7-7,134,,
U.S. Senate,,R,Crook,Craig Thomas,Alva Church 9-9,52,,
U.S. Senate,,R,Crook,Craig Thomas,Tower Junction 11-11,142,,
U.S. Senate,,R,Crook,Craig Thomas,Elmore 12-12,139,,
U.S. Senate,,R,Crook,Craig Thomas,Hulett Outside 13-13,182,,
U.S. Senate,,R,Crook,Craig Thomas,Hulett Inside 14-14,97,,
U.S. Senate,,R,Crook,Craig Thomas,Pine Haven Town Hall 15-15,186,,
U.S. Senate,,R,Crook,Craig Thomas,Moorcroft Outside 16-16,165,,
U.S. Senate,,R,Crook,Craig Thomas,Moorcroft West Side 18-1,143,,
U.S. Senate,,R,Crook,Craig Thomas,Moorcroft East Side 18-2,138,,
U.S. Senate,,R,Crook,Craig Thomas,New Haven Community Bldg. 23-23,52,,
U.S. Senate,,R,Crook,Craig Thomas,Colony Community Bldg. 24-24,36,,
U.S. Senate,,R,Crook,Craig Thomas,Oshoto Community Bldg. 26-26,45,,
U.S. Senate,,R,Crook,Craig Thomas,,2372,TRUE,
U.S. House,1,D,Crook,Gary Trauner,Sundance Inside North 1-1,94,,
U.S. House,1,D,Crook,Gary Trauner,Sundance Inside South 1-2,94,,
U.S. House,1,D,Crook,Gary Trauner,Sundance Outside 2-2,125,,
U.S. House,1,D,Crook,Gary Trauner,Beulah Community Bldg. 3-3,23,,
U.S. House,1,D,Crook,Gary Trauner,Aladdin Community 7-7,42,,
U.S. House,1,D,Crook,Gary Trauner,Alva Church 9-9,6,,
U.S. House,1,D,Crook,Gary Trauner,Tower Junction 11-11,32,,
U.S. House,1,D,Crook,Gary Trauner,Elmore 12-12,31,,
U.S. House,1,D,Crook,Gary Trauner,Hulett Outside 13-13,27,,
U.S. House,1,D,Crook,Gary Trauner,Hulett Inside 14-14,30,,
U.S. House,1,D,Crook,Gary Trauner,Pine Haven Town Hall 15-15,60,,
U.S. House,1,D,Crook,Gary Trauner,Moorcroft Outside 16-16,42,,
U.S. House,1,D,Crook,Gary Trauner,Moorcroft West Side 18-1,64,,
U.S. House,1,D,Crook,Gary Trauner,Moorcroft East Side 18-2,31,,
U.S. House,1,D,Crook,Gary Trauner,New Haven Community Bldg. 23-23,7,,
U.S. House,1,D,Crook,Gary Trauner,Colony Community Bldg. 24-24,5,,
U.S. House,1,D,Crook,Gary Trauner,Oshoto Community Bldg. 26-26,4,,
U.S. House,1,D,Crook,Gary Trauner,,717,,
U.S. House,1,L,Crook,Thomas R. Rankin,Sundance Inside North 1-1,12,,
U.S. House,1,L,Crook,Thomas R. Rankin,Sundance Inside South 1-2,16,,
U.S. House,1,L,Crook,Thomas R. Rankin,Sundance Outside 2-2,10,,
U.S. House,1,L,Crook,Thomas R. Rankin,Beulah Community Bldg. 3-3,4,,
U.S. House,1,L,Crook,Thomas R. Rankin,Aladdin Community 7-7,10,,
U.S. House,1,L,Crook,Thomas R. Rankin,Alva Church 9-9,2,,
U.S. House,1,L,Crook,Thomas R. Rankin,Tower Junction 11-11,4,,
U.S. House,1,L,Crook,Thomas R. Rankin,Elmore 12-12,6,,
U.S. House,1,L,Crook,Thomas R. Rankin,Hulett Outside 13-13,8,,
U.S. House,1,L,Crook,Thomas R. Rankin,Hulett Inside 14-14,9,,
U.S. House,1,L,Crook,Thomas R. Rankin,Pine Haven Town Hall 15-15,6,,
U.S. House,1,L,Crook,Thomas R. Rankin,Moorcroft Outside 16-16,6,,
U.S. House,1,L,Crook,Thomas R. Rankin,Moorcroft West Side 18-1,13,,
U.S. House,1,L,Crook,Thomas R. Rankin,Moorcroft East Side 18-2,9,,
U.S. House,1,L,Crook,Thomas R. Rankin,New Haven Community Bldg. 23-23,2,,
U.S. House,1,L,Crook,Thomas R. Rankin,Colony Community Bldg. 24-24,1,,
U.S. House,1,L,Crook,Thomas R. Rankin,Oshoto Community Bldg. 26-26,4,,
U.S. House,1,L,Crook,Thomas R. Rankin,,122,,
U.S. House,1,R,Crook,Barbara Cubin,Sundance Inside North 1-1,208,,110
U.S. House,1,R,Crook,Barbara Cubin,Sundance Inside South 1-2,159,,77
U.S. House,1,R,Crook,Barbara Cubin,Sundance Outside 2-2,260,,162
U.S. House,1,R,Crook,Barbara Cubin,Beulah Community Bldg. 3-3,83,,47
U.S. House,1,R,Crook,Barbara Cubin,Aladdin Community 7-7,111,,67
U.S. House,1,R,Crook,Barbara Cubin,Alva Church 9-9,49,,22
U.S. House,1,R,Crook,Barbara Cubin,Tower Junction 11-11,138,,81
U.S. House,1,R,Crook,Barbara Cubin,Elmore 12-12,125,,97
U.S. House,1,R,Crook,Barbara Cubin,Hulett Outside 13-13,170,,97
U.S. House,1,R,Crook,Barbara Cubin,Hulett Inside 14-14,85,,44
U.S. House,1,R,Crook,Barbara Cubin,Pine Haven Town Hall 15-15,176,,86
U.S. House,1,R,Crook,Barbara Cubin,Moorcroft Outside 16-16,152,,93
U.S. House,1,R,Crook,Barbara Cubin,Moorcroft West Side 18-1,116,,68
U.S. House,1,R,Crook,Barbara Cubin,Moorcroft East Side 18-2,123,,74
U.S. House,1,R,Crook,Barbara Cubin,New Haven Community Bldg. 23-23,47,,25
U.S. House,1,R,Crook,Barbara Cubin,Colony Community Bldg. 24-24,34,,28
U.S. House,1,R,Crook,Barbara Cubin,Oshoto Community Bldg. 26-26,41,,29
U.S. House,1,R,Crook,Barbara Cubin,,2077,TRUE,1207
Governor,,D,Crook,Dave Freudenthal,Sundance Inside North 1-1,213,,
Governor,,D,Crook,Dave Freudenthal,Sundance Inside South 1-2,190,,
Governor,,D,Crook,Dave Freudenthal,Sundance Outside 2-2,233,,
Governor,,D,Crook,Dave Freudenthal,Beulah Community Bldg. 3-3,60,,
Governor,,D,Crook,Dave Freudenthal,Aladdin Community 7-7,99,,
Governor,,D,Crook,Dave Freudenthal,Alva Church 9-9,34,,
Governor,,D,Crook,Dave Freudenthal,Tower Junction 11-11,89,,
Governor,,D,Crook,Dave Freudenthal,Elmore 12-12,63,,
