office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Sweetwater,Dale Groutage,Granger Town Hall 1-1,10,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS Lincoln Outreach Center 3-1,113,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS 1st United Methodist Church 3-2,299,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS 1st United Methodist Church 3-3,121,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS Catholic Parish Center 3-4,64,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS County Office Building 3-5,118,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS South Side Parish Center 4-1,199,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS White Mountain Library 4-2,63,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS Sweetwater County Garage 4-3,103,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS 1st Congregational Church 4-4,285,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS Fire Station #1 5-1,83,
U.S. Senate,,D,Sweetwater,Dale Groutage,Western WY Comm. College 5-2,228,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS School Admin. Bldg. 5-3,284,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS White Mountain Library 5-5,131,
U.S. Senate,,D,Sweetwater,Dale Groutage,Rock Springs Civic Center 6-1,233,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS County Events Complex 6-2,149,
U.S. Senate,,D,Sweetwater,Dale Groutage,Western WY Comm. College 6-3,116,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS County Events Complex 6-4,20,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS County Events Complex 7-1,101,
U.S. Senate,,D,Sweetwater,Dale Groutage,RS County Events Complex 7-2,100,
U.S. Senate,,D,Sweetwater,Dale Groutage,K-Motive Bldg./Jamestown 9-1,64,
U.S. Senate,,D,Sweetwater,Dale Groutage,K-Motive Bldg./Jamestown 9-2,16,
U.S. Senate,,D,Sweetwater,Dale Groutage,GR Sweetwater County Courthouse 10-1,276,
U.S. Senate,,D,Sweetwater,Dale Groutage,GR Lincoln Middle School 10-2,126,
U.S. Senate,,D,Sweetwater,Dale Groutage,GR Lincoln Middle School 10-3,212,
U.S. Senate,,D,Sweetwater,Dale Groutage,Green River Rec. Center 10-4,494,
U.S. Senate,,D,Sweetwater,Dale Groutage,GR Mansface Church 10-5,321,
U.S. Senate,,D,Sweetwater,Dale Groutage,GR Truman School 10-6,227,
U.S. Senate,,D,Sweetwater,Dale Groutage,Reliance Fire Station 12-1,79,
U.S. Senate,,D,Sweetwater,Dale Groutage,Fon Slagowski's Residence/Washam 13-1,4,
U.S. Senate,,D,Sweetwater,Dale Groutage,Superior Admin. Bldg. 19-1,47,
U.S. Senate,,D,Sweetwater,Dale Groutage,Farson Community Hall 20-1,30,
U.S. Senate,,D,Sweetwater,Dale Groutage,Point of Rocks 21-1,7,
U.S. Senate,,D,Sweetwater,Dale Groutage,Wamsutter Town Hall 23-1,18,
U.S. Senate,,D,Sweetwater,Dale Groutage,McKinnon School 24-1,9,
U.S. Senate,,D,Sweetwater,Dale Groutage,Bairoil Town Hall 25-1,9,
U.S. Senate,,D,Sweetwater,Dale Groutage,,4759,
U.S. Senate,,R,Sweetwater,Craig Thomas,Granger Town Hall 1-1,41,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS Lincoln Outreach Center 3-1,137,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS 1st United Methodist Church 3-2,437,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS 1st United Methodist Church 3-3,213,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS Catholic Parish Center 3-4,59,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS County Office Building 3-5,115,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS South Side Parish Center 4-1,214,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS White Mountain Library 4-2,117,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS Sweetwater County Garage 4-3,163,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS 1st Congregational Church 4-4,427,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS Fire Station #1 5-1,95,
U.S. Senate,,R,Sweetwater,Craig Thomas,Western WY Comm. College 5-2,418,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS School Admin. Bldg. 5-3,610,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS White Mountain Library 5-5,180,
U.S. Senate,,R,Sweetwater,Craig Thomas,Rock Springs Civic Center 6-1,237,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS County Events Complex 6-2,276,
U.S. Senate,,R,Sweetwater,Craig Thomas,Western WY Comm. College 6-3,216,
U.S. Senate,,R,Sweetwater,Craig Thomas,RS County Events Complex 6-4,26,
