office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Hot Springs,Dale Groutage,VFW Hall 1-1,217,
U.S. Senate,,D,Hot Springs,Dale Groutage,VFW Hall 1-2,164,
U.S. Senate,,D,Hot Springs,Dale Groutage,Hot Springs County Museum 2-4,28,
U.S. Senate,,D,Hot Springs,Dale Groutage,National Guard Armory 3-3,188,
U.S. Senate,,D,Hot Springs,Dale Groutage,,597,
U.S. Senate,,R,Hot Springs,Craig Thomas,VFW Hall 1-1,570,
U.S. Senate,,R,Hot Springs,Craig Thomas,VFW Hall 1-2,437,
U.S. Senate,,R,Hot Springs,Craig Thomas,Hot Springs County Museum 2-4,118,
U.S. Senate,,R,Hot Springs,Craig Thomas,National Guard Armory 3-3,554,
U.S. Senate,,R,Hot Springs,Craig Thomas,,1679,TRUE
U.S. House,1,D,Hot Springs,Gary Trauner,VFW Hall 1-1,398,
U.S. House,1,D,Hot Springs,Gary Trauner,VFW Hall 1-2,266,
U.S. House,1,D,Hot Springs,Gary Trauner,Hot Springs County Museum 2-4,43,
U.S. House,1,D,Hot Springs,Gary Trauner,National Guard Armory 3-3,292,
U.S. House,1,D,Hot Springs,Gary Trauner,,999,
U.S. House,1,L,Hot Springs,Thomas R. Rankin,VFW Hall 1-1,35,
U.S. House,1,L,Hot Springs,Thomas R. Rankin,VFW Hall 1-2,42,
U.S. House,1,L,Hot Springs,Thomas R. Rankin,Hot Springs County Museum 2-4,8,
U.S. House,1,L,Hot Springs,Thomas R. Rankin,National Guard Armory 3-3,39,
U.S. House,1,L,Hot Springs,Thomas R. Rankin,,124,
U.S. House,1,R,Hot Springs,Barbara Cubin,VFW Hall 1-1,356,
U.S. House,1,R,Hot Springs,Barbara Cubin,VFW Hall 1-2,298,
U.S. House,1,R,Hot Springs,Barbara Cubin,Hot Springs County Museum 2-4,93,
U.S. House,1,R,Hot Springs,Barbara Cubin,National Guard Armory 3-3,413,
U.S. House,1,R,Hot Springs,Barbara Cubin,,1160,TRUE
Governor,,D,Hot Springs,Dave Freudenthal,VFW Hall 1-1,610,
Governor,,D,Hot Springs,Dave Freudenthal,VFW Hall 1-2,476,
Governor,,D,Hot Springs,Dave Freudenthal,Hot Springs County Museum 2-4,102,
